Team,Player,Status,Injury
PHI,Johnny Mundt,Active,Mundt caught two of three targets for eight yards in Sunday's 24-20 win against the Titans.
PHI,Zack Baun,Active,Baun recorded four total tackles (two solo) during Sunday's 24-20 win over Tennessee.
PHI,Jihaad Campbell,Active,Campbell recorded 10 total tackles (six solo) and a forced fumble during Sunday's 24-20 win over the Titans.
PHI,Zach Ertz,Active,"Ertz signed with the Eagles' practice squad Tuesday, Chris McPherson of the team's official site reports."
PHI,Jake Elliott,Active,Elliott converted his only field-goal attempt and made all three of his PATs in Sunday's 24-20 win over the Titans.
PHI,Makai Lemon,Active,Lemon caught his lone target for 14 yards while turning one carry into minus-5 yards during the Eagles' 24-20 win over the Titans on Sunday.
PHI,Tanner McKee,Active,
PHI,Cole Payton,Active,
PHI,Elijah Moore,Active,
PHI,Micah Morris,Active,
PHI,Dontayvion Wicks,Active,Wicks caught five of six targets for 74 yards in Sunday's 24-20 win over the Titans.
PHI,Jalen Hurts,Active,Hurts completed 26 of 37 passes for 264 yards and two touchdowns with two interceptions in Sunday's 24-20 win over Tennessee. He added 16 yards on five carries.
PHI,Andy Dalton,Active,Dalton is active as the Eagles' top backup quarterback for Sunday's game against the Titans.
PHI,Cooper DeJean,Active,DeJean (calf) does not carry an injury designation into Sunday's game against the Titans.
PHI,Landon Dickerson,Injured Reserve,Knee
PIT,Michael Pittman Jr.,Questionable,Foot
PIT,Rico Dowdle,Questionable,Toe
PIT,Jaylen Warren,Questionable,Shoulder
PIT,Gennings Dunker,Questionable,Knee
PIT,Jamel Dean,Questionable,Ankle
PIT,Joey Porter Jr.,Questionable,Undisclosed
PIT,Patrick Queen,Active,Queen recorded two tackles (zero solo) and an interception in Sunday's 20-3 loss to the Patriots.
PIT,Darnell Washington,Active,Washington caught one of his two targets for seven yards in Sunday's loss to the Patriots.
PIT,Travis Homer,Active,"Homer reverted to the Steelers' practice squad Monday, per the NFL's transaction log."
PIT,Chris Boswell,Active,Boswell went 1-for-2 on field-goal tries in Sunday's 20-3 loss to the Patriots.
PIT,Pat Freiermuth,Active,Freiermuth caught four passes (on five targets) for 32 yards while logging a two-yard carry during the Steelers' 20-3 loss to the Patriots on Sunday.
PIT,Roman Wilson,Active,Wilson caught five of six targets for 28 yards during the Steelers' 20-3 loss to the Patriots on Sunday.
PIT,Germie Bernard,Active,Bernard caught four passes on eight targets for 35 yards during the Steelers' 20-3 loss to the Patriots on Sunday.
PIT,Gabriel Rubio,Active,
PIT,Kevin Jobity Jr.,Active,
PIT,Drew Allar,Active,
PIT,Will Howard,Active,
PIT,DK Metcalf,Active,Metcalf caught four of nine targets for 27 yards in Sunday's 20-3 loss to the Patriots.
PIT,Aaron Rodgers,Active,"Rodgers completed 23 of 39 passes for 187 yards, no touchdowns and one interception in Sunday's 20-3 loss to the Patriots. He also rushed once for five yards and fumbled twice, losing one."
PIT,Troy Fautanu,Active,Fautanu (ankle) is active for Sunday's game against the Patriots.
PIT,Jaquan Brisker,Active,Brisker recorded six tackles (four solo) and an interception during Sunday's 20-13 win versus the Falcons.
PIT,Payton Wilson,Active,Wilson recorded 13 tackles (five solo) during Sunday's 20-13 win versus the Falcons.
PIT,T.J. Watt,Active,"Watt made four solo tackles, including 2.0 sacks, and had one pass defensed for a 35-yard pick-six in Sunday's 20-13 win over the Falcons."
PIT,Asante Samuel Jr.,Active,"Samuel is expected to start Sunday's game against the Falcons in place of Joey Porter (back), Brooke Pryor of ESPN.com reports."
PIT,Brandin Echols,Active,"Echols (ankle) was not listed on Pittsburgh's official injury report Wednesday, Teresa Varley of the Steelers' official site reports."
SF,Mike Evans,Questionable,Hip
SF,Nick Bosa,Questionable,Knee
SF,Naquan Jones,Active,The 49ers signed Jones to the active roster Wednesday from the Vikings' practice squad.
SF,C.J. West,Injured Reserve,Undisclosed
SF,Mac Jones,Active,Jones did not attempt a pass and lost two yards on two end-of-game kneel-down plays during Sunday's 35-13 victory over the Dolphins.
SF,Kyle Juszczyk,Active,Juszczyk recorded two catches on two targets for 27 yards and a touchdown in Sunday's win over the Dolphins.
SF,Fred Warner,Active,"Warner recorded five tackles (one solo), including 0.5 sacks, and a forced fumble during Sunday's 35-13 win versus the Dolphins."
SF,Ji'Ayir Brown,Active,Brown recorded 13 tackles (four solo) during Sunday's 35-13 win versus the Dolphins.
SF,Marques Sigle,Active,"Sigle recorded seven tackles (three solo), including 1.0 sacks, during Sunday's 35-13 win versus the Dolphins."
SF,Jordan James,Active,James saw four carries for 15 yards in Sunday's 35-13 win over the Dolphins.
SF,Romello Height,Questionable,Hand
SF,Eddy Pineiro,Active,Pineiro did not have any field-goal tries but converted on all five of his extra-point attempts during Sunday's 35-13 win versus the Dolphins.
SF,James Thompson Jr.,Doubtful,Ankle
SF,Demarcus Robinson,Out,Ankle
SF,Tatum Bethune,Active,
SF,Enrique Cruz Jr.,Active,
SF,Ephesians Prysock,Active,
SF,Brandon Aiyuk,Out,Personal
SF,Deebo Samuel Sr.,Active,Samuel caught three of four targets for 31 yards in the 49ers' 35-13 win over the Dolphins on Sunday. He rushed one time for four yards.
SF,Kaelon Black,Active,Black (groin) rushed seven times for 25 yards and wasn't targeted in Sunday's 35-13 win over the Dolphins.
SF,George Kittle,Active,Kittle caught all four of his targets for 80 yards and a touchdown in Sunday's 35-13 win over the Dolphins.
SF,Brock Purdy,Active,Purdy completed 20 of 22 passes for 287 yards and two touchdowns in Sunday's 35-13 win over the Dolphins. He also rushed three times for 30 yards and a touchdown.
SF,Christian McCaffrey,Active,McCaffrey rushed 10 times for 23 yards and two touchdowns while catching both of his targets for 43 yards in Sunday's 35-13 win over the Dolphins.
SF,Jack Jones,Questionable,Foot
SF,Jordan Watkins,Active,Watkins (coach's decision) is inactive for Sunday's game against the Dolphins.
SEA,Jadarian Price,Questionable,Chest
SEA,Sam Darnold,Active,"Darnold (glute) was a full practice participant Thursday, John Boyle of the Seahawks' official site reports."
SEA,Brady Russell,Active,
SEA,Julian Love,Questionable,Calf
SEA,Ernest Jones IV,Active,
SEA,Nick Emmanwori,Active,"Emmanwori (ankle) will have a ""significantly higher"" workload in Week 3, Brady Henderson of ESPN reports."
SEA,Ty Okada,Questionable,Hamstring
SEA,Anthony Bradford,Injured Reserve,Knee
SEA,Cooper Kupp,Active,"Kupp (back) was limited in Wednesday's practice, John Boyle of the Seahawks' official site reports."
SEA,George Holani,Questionable,Knee
SEA,Rodney Thomas II,Active,"The Seahawks signed Thomas from the practice squad to the active roster Wednesday, John Boyle of the team's official site reports."
SEA,Zach Charbonnet,Out,Knee - ACL
SEA,Tory Horton,Active,Horton played 22 of the Seahawks' 70 offensive snaps and did not show up in the box score otherwise during Sunday's 31-7 win over the Cardinals.
SEA,Elijah Arroyo,Active,Arroyo caught his only target for 17 yards during Sunday's 31-7 win over Arizona.
SEA,Rashid Shaheed,Active,"Shaheed caught three of six targets for 35 yards while also adding a four-yard rush, 29 yards on three punt returns and two kickoff returns for 47 yards during Sunday's 31-7 win over Arizona."
SEA,AJ Barner,Active,Barner caught his only target for eight yards while also adding a one-yard rushing touchdown during Sunday's 31-7 win over Arizona.
SEA,Mike Morris,Active,
SEA,Connor O'Toole,Active,
SEA,Montorie Foster Jr.,Active,
SEA,Jason Myers,Active,Myers converted his lone field-goal attempts and made all four PATs in Sunday's 31-7 win over the Cardinals.
SEA,Emanuel Wilson,Active,Wilson rushed 21 times for 92 yards and failed to catch his only target in Sunday's 31-7 win over Arizona.
SEA,Drew Lock,Active,Lock completed 19 of 26 passes for 235 yards with three touchdowns and no interceptions in Sunday's 31-7 victory over Arizona.
SEA,Jaxon Smith-Njigba,Active,Smith-Njigba caught nine of 11 targets for 155 yards and three touchdowns during Sunday's 31-7 win over the Cardinals.
SEA,Brandon Pili,Questionable,Concussion
SEA,Josh Jones,Active,
TB,Jacob Parrish,Active,Parrish (back) was full participant at the Buccaneers' practice Wednesday.
TB,Rueben Bain Jr.,Questionable,Groin
TB,Josiah Trotter,Questionable,Shoulder
TB,Anthony Nelson,Questionable,Shin
TB,Tez Johnson,Active,Johnson caught one of his four targets for 49 yards and returned two punts for 14 yards in Sunday's 23-19 loss to the Browns.
TB,Tykee Smith,Active,"Smith recorded five total tackles (four solo), including three for a loss, during Sunday's 23-19 defeat to Cleveland."
TB,Sean Tucker,Active,Tucker played one special-teams snap in Sunday's 23-19 loss to the Browns.
TB,Jalen McMillan,Active,McMillan didn't record any targets and played just seven of Tampa Bay's 65 offensive snaps in Sunday's Week 2 loss to Cleveland.
TB,Ted Hurst III,Active,Hurst caught two passes (on seven targets) for 27 yards during the Buccaneers' 23-19 loss to the Browns on Sunday.
TB,Cade Otton,Active,Otton caught five of six targets for 38 yards during the Buccaneers' 23-19 loss to the Browns on Sunday.
TB,Elijah Simmons,Active,
TB,Ayden Garnes,Active,
TB,Luke Haggard,Active,
TB,Billy Schrauth,Active,
TB,DeMonte Capehart,Active,
TB,Chris Godwin Jr.,Active,Godwin caught all three of his targets for 46 yards in Tampa Bay's 23-19 loss to the Browns on Sunday. He added 12 rushing yards on one attempt.
TB,Kenny Gainwell,Active,Gainwell rushed two times for 10 yards in Sunday's 23-19 loss to the Browns. He added three catches for five yards on four targets.
TB,Chase McLaughlin,Active,McLaughlin made all four of his field-goal attempts and his lone extra-point try during the Buccaneers' 23-19 loss to the Browns on Sunday.
TB,Baker Mayfield,Active,Mayfield completed 21 of 34 passes for 182 yards with one touchdown and one interception while adding four rushes for 29 yards in the Buccaneers' 23-19 loss to the Browns on Sunday.
TB,Emeka Egbuka,Active,Egbuka brought in three of five targets for 16 yards and a touchdown while rushing once for minus-3 yards in the Buccaneers' 23-19 loss to the Browns on Sunday.
TB,Bucky Irving,Active,Irving rushed 17 times for 89 yards and brought in all four of his targets for one yard in the Buccaneers' 23-19 loss to the Browns on Sunday.
TB,Miles Killebrew,Active,"Killebrew (concussion) is active for Sunday's game against the Browns, Brianna Dix of the Buccaneers' official site reports."
TB,Justin Skule,Active,Skule (oblique) was a full participant in Wednesday's practice.
TB,Christian Rozeboom,Active,Rozeboom (foot) is active for Sunday's game against the Bengals.
TB,Josh Hayes,Injured Reserve,Knee
TEN,Tony Pollard,Questionable,Ankle
TEN,Micah Robinson,Questionable,Groin
TEN,Daniel Bellinger,Questionable,Illness
TEN,Tyjae Spears,Questionable,Ankle
TEN,Fernando Carmona,Active,Carmona (shoulder) was a full participant in Wednesday's practice.
TEN,Cor'Dale Flott,Questionable,Quadriceps
TEN,James Williams Sr.,Active,Williams (elbow) was a full participant in Wednesday's practice.
TEN,Solomon Thomas,Questionable,Knee
TEN,Marcus Harris,Active,Harris logged six tackles (four solo) and one pass defensed for an interception in Sunday's 24-20 loss to the Eagles.
TEN,Amani Hooker,Active,Hooker logged six tackles (three solo) and one pass defensed for an interception in Sunday's 24-20 loss to the Eagles.
TEN,Anthony Hill Jr.,Active,Hill recorded 10 tackles (six solo) in Sunday's 24-20 loss to the Eagles.
TEN,Nicholas Singleton,Active,Singleton rushed four times for 10 yards during Sunday's 24-20 loss to the Eagles.
TEN,Elic Ayomanor,Active,Ayomanor caught two of three targets for 69 yards during the Titans' 24-20 loss to the Eagles on Sunday.
TEN,Calvin Ridley,Active,Ridley caught both of his targets for 35 yards during the Titans' 24-20 loss to the Eagles on Sunday.
TEN,Brandon Crenshaw-Dickson,Active,
TEN,Atonio Mafi,Active,
TEN,Kylen Granson,Active,
TEN,Jackie Marshall,Active,
TEN,Wan'Dale Robinson,Active,Robinson caught his only target for nine yards in Sunday's 24-20 loss to the Eagles.
TEN,Gunnar Helm,Active,Helm caught both of his targets for 13 yards in the Titans' 24-20 loss to the Eagles on Sunday.
TEN,Carnell Tate,Active,Tate caught three of five targets for 27 yards in the Titans' 24-20 loss to the Eagles on Sunday.
TEN,Joey Slye,Active,Slye made both of his field-goal attempts and each of his two extra-point tries during the Titans' 24-20 loss to the Eagles on Sunday.
TEN,Cam Ward,Active,Ward completed 13 of 20 passes for 183 yards without a touchdown or interception in Sunday's 24-20 loss to the Eagles. He added seven rushing yards and two TDs on four carries.
TEN,Cedric Gray,Active,Gray (concussion) does not have an injury designation ahead of Sunday's game against the Eagles.
TEN,Kevin Winston Jr.,Active,Winston posted 10 tackles (four solo) during the Titans' 23-10 loss to the Jets on Sunday.
WSH,Chig Okonkwo,Questionable,Hamstring
WSH,Brandon Coleman,Active,Coleman (finger) was a full participant at the Commanders' practice Wednesday.
WSH,Jeremy Reaves,Questionable,Knee
WSH,Leo Chenal,Questionable,Chest
WSH,Frankie Luvu,Questionable,Groin
WSH,Charles Omenihu,Questionable,Ankle
WSH,Tyler Owens,Questionable,Hamstring
WSH,Percy Butler,Questionable,Groin
WSH,Kaytron Allen,Questionable,Hip
WSH,Dorance Armstrong,Questionable,Knee
WSH,Javon Kinlaw,Questionable,Shoulder
WSH,Nick Cross,Out,Undisclosed
WSH,Jayden Daniels,Out,Elbow
WSH,Jaylin Lane,Questionable,Groin
WSH,Colson Yankoff,Active,Yankoff caught his only target for 14 yards in Sunday's Week 2 loss to Dallas.
WSH,Treylon Burks,Active,Burks failed to catch his lone target in Sunday's 37-20 loss to the Cowboys.
WSH,John Bates,Active,Bates played 22 offensive snaps and 14 special-teams snaps in Sunday's 37-20 loss to the Cowboys.
WSH,Sonny Styles,Active,Styles recorded three total tackles during Sunday's 37-20 loss to the Cowboys.
WSH,Ben Sinnott,Active,Sinnott caught his only target for six yards in Sunday's 37-20 loss to the Cowboys.
WSH,Dyami Brown,Active,Brown caught four of his six targets for 21 yards and completed his sole pass attempt for zero yards while losing one fumble in Sunday's 37-20 loss to the Cowboys.
WSH,Antonio Williams,Active,Williams caught all three of his targets for 24 yards and failed to complete his only pass attempt in Sunday's 37-20 loss to the Cowboys.
WSH,Sam Cosmi,Questionable,Concussion
WSH,Drew Stevens,Active,Stevens made two of his three field-goal attempts while converting both PATs in Sunday's 37-20 loss to the Cowboys.
WSH,Marcus Mariota,Active,"Mariota is expected to start Sunday's game against Seattle while the Commanders continue to gather more information on the severity of Jayden Daniels' dislocated left elbow, Adam Schefter of ESPN reports."
WSH,Isaac Yiadom,Active,
